notion_id,name,category,価格,JANコード,入枚数,ポケット数,外寸横,外寸縦,外寸奥行,外寸高さ,背幅,内寸横,内寸縦,内寸奥行,内寸高さ,ポケット内寸横,ポケット内寸縦,厚さ,重さ,画像ファイル名
38459857-726b-8084-800c-f45f7a55dbac,LEDミニミニペンライトブルー,推し活グッズ,110,4978929921897,,,15,15,,90,,,,,,,,,,
37a59857-726b-80ef-9033-e047a28493be,ディスプレイドーム丸形,フレーム,110,4965534341219,,,65,65,,64,,,,,,,,,,
37a59857-726b-8044-9129-d8f3ecc7d217,お薬手帳ケース,推し活グッズ,550,2254723902747,,,135,205,,25,,,,,,,,,,
37259857-726b-803a-afd5-cae867c7df79,クリアー収納袋25cm×15cm×18cm,収納ケース,110,4550480240671,1,,250,150,,180,,,,,,,,,,
36959857-726b-80a1-adcb-cfd89dcba9e0,窓付収納ケース,推し活グッズ,220,4550480939124,,3,110,160,,15,,,,,,,,,,
35559857-726b-808d-8694-cb8030b3dd54,"メッシュポーチリフィル片面PVC,6穴/2穴兼用ホワイト",リフィル,110,4550480626376,1,,140,200,,,,110,175,,,,,,,
35559857-726b-804a-b91b-c2bc9dc36a3d,PVCフォトキーホルダーツインチェリー,推し活グッズ,110,4542804166590,,,115,84,,,,30,40,,,,,,,
35559857-726b-8089-b6f1-c5e1debaa7b1,スライダーケースファンシーカセット風缶バッジ用,推し活グッズ,110,4542804166552,1,,120,80,,,,105,70,,,,,,,
35459857-726b-8032-be6d-dbb76142cc75,マイコレ銀テープ巻取りケース2P,推し活グッズ,110,4906137338312,,,32,32,,42,,,,,,,,,,
35459857-726b-801c-a6cf-d4a849be16f1,スライダーケースタロットカード風アクキー・アクスタ用,推し活グッズ,110,4542804166583,,,80,150,,,,80,133,,,,,,,
35459857-726b-80b0-9013-ddcae5234474,きらふわぬい痛ボストンバッグ,推し活グッズ,4949,,,,250,210,90,,,,,,,,,,,
34459857-726b-80cf-9280-cb955899b36c,6リング用ジッパーリフィル内仕切付2P,リフィル,110,4906137815745,2,2,127,214,,,,100,195,,,,,,,
32a59857-726b-801d-b189-f92caadd439b,クリアーボックス収納バッグ47cm×36cm×20cm,収納ケース,330,4550480733043,1,,47,36,,20,,,,,,,,,,
32a59857-726b-8048-acf9-d9d3ceabb627,クリアー収納袋30cm×25cm×36cm,収納ケース,220,4550480240725,1,,20,25,,36,,,,,,,,,,
32a59857-726b-8077-be46-d74bece9466e,クリアー収納袋50cm×30cm×18cm,収納ケース,220,4550480240749,1,,50,30,,18,,,,,,,,,,
